"Total GNI, PPP (current international $)";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Abkhazia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Afghanistan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13363780107,0509;16780503844,0344;18936445931,4207;22408872945,1924;27298432147,8066;30703643998,493;28094524918,861;33416936845,5373;36340804707,5381;
"Akrotiri and Dhekelia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Albania";;;;;;;;;;;;;;;;;;;;;;;;7371643811,67912;7724703707,05067;8337068005,52006;8514918283,85722;8685519126,0614;9897639044,09016;9281307284,97579;6634427298,83816;6148467101,2526;7107574553,55267;7951700525,80064;9361086150,68892;10453469508,8387;9556552382,70517;10916774576,7086;12143604080,0089;13447863253,3259;14821516688,109;15395730913,2491;16631426533,833;18015371677,5324;19546091949,439;22082450569,2379;23436223756,7999;26355382354,896;27320511767,4538;27475758369,581;28631731781,3348
"Algeria";;;;;;;;;;;;;;;;;;;;55490412049,0387;62514618959,1946;70510933423,3043;77571181979,5384;84781291946,2516;90640899218,6902;93483673795,6637;95502819312,1877;96729413911,7479;104791797161,967;109668971184,076;110310420095,856;115090885515,894;116345031849,941;116945481767,877;122703724103,845;129708509321,566;134858839079,31;144417134612,144;150344137487,383;156584006309,84;167552956381,922;176720107726,679;192772365834,939;207922776648,404;224059955915,877;238702270156,434;259608445212,63;273273945203,032;287980297083,302;285929875049,84;301065051175,923
"American Samoa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Andorra";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Angola";;;;;;;;;;;;;;;;;;;;;;;;;15478914849,3;16284542410,9416;18386825926,2951;17814316785,9274;18707970471,5464;18485725979,3616;19063524445,1111;13620695150,2607;10575318288,4502;8721660681,58906;15063168043,2235;18207518360,8471;21408164952,8909;22519295538,9653;22281496887,9421;24963458002,0554;26632103875,9563;32154725533,9832;34704666867,7322;39592021681,5967;47417675782,745;58747469064,0836;76032244781,3058;84682885191,2287;95248196267,1763;98675465036,4678;103737426639,269
"Anguilla";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Antigua and Barbuda";;;;;;;;;;;;;;;;;;;;243134945,28386;275336180,252948;289403110,215674;321493538,486812;367657597,350642;404619966,020949;403413690,235614;453112663,935364;523985539,180329;556950651,317308;593507944,211456;652361429,435005;678036907,711918;745897975,287973;806831879,197239;790251528,624891;835196634,886072;933094462,557038;992305085,636164;1046143051,19495;1062656074,27968;1139304675,60454;1163582259,8923;1255827894,04704;1375944020,17153;1493170657,11492;1747585892,97805;1625363954,14245;1677931711,85247;1525501415,96783;1426855698,78119;1404083123,58582
