"Electricity consumption, total (kWh)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Abkhazia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Afghanistan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Akrotiri and Dhekelia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Albania";;;;;;;;;;;;1164000000;1275000000;1363000000;1389000000;1778000000;2234000000;2684000000;2819000000;2790000000;3054000000;3064000000;3054000000;3045000000;2957000000;2361000000;4294000000;3583000000;3161000000;3297000000;1717000000;1301000000;1436000000;1684000000;1876000000;2057000000;2809000000;2143000000;2258000000;4366000000;4438000000;4097000000;4763000000;4466000000;5441000000;5186000000;3646000000;3603000000;4768000000;5379000000;5673000000;
"Algeria";;;;;;;;;;;;1991000000;2184000000;2494000000;2756000000;3250000000;3760000000;4099000000;5050000000;5866000000;6349000000;7205000000;8305000000;8810000000;9604000000;10464000000;11211000000;10827000000;11779000000;13109000000;13693000000;14058000000;15130000000;15144000000;15545000000;16102000000;16697000000;17123000000;18674000000;19991000000;21211000000;22302000000;23280000000;25373000000;26288000000;29524000000;29013000000;30555000000;32900000000;30304000000;36402000000;
"American Samoa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Andorra";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Angola";;;;;;;;;;;;556000000;628000000;738000000;922000000;979000000;439000000;439000000;439000000;472000000;506000000;506000000;540000000;587000000;502000000;604000000;604000000;607000000;611000000;614000000;630000000;667000000;677000000;680000000;684000000;687000000;736000000;1031000000;1126000000;1141000000;1234000000;1400000000;1507000000;1737000000;1642000000;2124000000;2916000000;2786000000;3740000000;4261000000;4730000000;
"Anguilla";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Antigua and Barbuda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Argentina";;;;;;;;;;;;21214000000;22812000000;24111000000;25290000000;26176000000;27118000000;28841000000;29589000000;33437000000;34693000000;33938000000;34803000000;36846000000;38682000000;38945000000;40841000000;44090000000;45993000000;42447000000;42534000000;44577000000;47289000000;50850000000;52546000000;57428000000;60910000000;65893000000;70947000000;74167000000;77016000000;79046000000;75910000000;83042000000;88272000000;93671000000;85363000000;93656000000;111235000000;110523000000;117375000000;
"Armenia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9633000000;9428000000;6757000000;4019000000;3433000000;3379000000;3865000000;4728000000;4068000000;4039000000;3983000000;3872000000;3751000000;3985000000;4322000000;4536000000;4851000000;5200000000;4854000000;4783000000;4967000000;
"Aruba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Australia";18778721348,1819;20432505463,3216;21529655691,6775;24115596564,5662;26885596044,6852;29821871676,1503;32123590874,603;35313646498,0931;37769247230,5771;41477939775,6666;45949112041,2569;48725759770,0394;51371448235,9414;56991931939,4619;62686201869,8535;66415201538,6166;68955526209,3636;74713544259,0896;77883802155,9409;82365405264,1588;87012989628,7776;91694766537,8174;96570212848,399;97610482555,1435;104298300432,707;110805027889,834;117431538211,057;122897224804,198;129458422966,09;137005392481,444;145782796013,736;147609192258,794;149882721278,765;154259699447,671;157935832923,327;162963482023,904;166860668348,752;172118750206,783;183291609049,436;190169738206,7;195359711097,165;206156271930,768;211981009451,897;212890827934,095;218489752636,307;213370189562,045;218009582469,236;229178304237,466;228595751273,856;228954599566,321;226636263962,188;
"Austria";12780099014,1381;13327137686,9647;14297099223,211;15236284327,444;16123325872,3489;16755374401,9473;17367933756,6747;18010229160,4254;19289735398,6021;20917314259,3355;22540443481,1652;24091160688,0731;25623631952,0119;27337553320,5073;28525324709,1277;28301487549,5834;30839181523,0272;31345952912,8234;32800968798,5343;34318362999,3013;35362025369,3224;35438614443,8088;35683607778,5729;36425645816,996;38290886390,0683;39920673911,3164;40287917411,2268;41993563374,9488;43477067547,7373;45005108450,9133;46878160096,7719;48997854269,5184;48439067836,85;48113891117,2578;48990045038,3928;50346718049,8719;52596560651,6483;52775251012,8901;53493493091,7691;55670802191,7029;56643499248,9608;58948038386,5646;60038185277,4025;62593589365,4351;63913087777,2864;65676840127,815;68037558287,9944;67976581867,7697;68331974561,3671;66586718873,9163;70138363283,5747;
"Azerbaijan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18636164548,1212;18862622430,2022;16515791919,534;15537819212,8085;15674648625,7733;14819296326,0898;14966017749,5813;14295278286,3522;16212346528,4974;16253353339,1375;16549760682,4789;17254063817,9308;17406671493,0953;19726895423,0578;20668074198,2785;20674986338,65;21872882016,4888;18682704613,5201;18251745030,4676;14692424403,3609;14731979520,3003;
"Bahamas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bahrain";;;;;;;;;;;;430000000;450000000;500000000;575000000;700000000;900000000;1110000000;1212000000;1474000000;1660000000;1814000000;2009000000;2216000000;2093000000;2429000000;2887000000;2708000000;2954000000;3093000000;3240000000;3163000000;3700000000;4044000000;4386000000;4550000000;4800000000;4955000000;5313000000;5563000000;5740000000;6203000000;6735000000;7465000000;8051000000;8456000000;9317000000;10763000000;10194000000;10777000000;12384000000;
"Bangladesh";;;;;;;;;;;;710000000;710000000;1042000000;1178000000;1211000000;1261000000;1367000000;1651000000;1661000000;1522000000;1867000000;2168000000;2537000000;2867000000;3041000000;3535000000;3769000000;4174000000;5094000000;5136000000;5324000000;6523000000;7414000000;8013000000;9010000000;9640000000;10063000000;10895999912,6947;12164000000;13354000000;14978999886,4751;16293000000;17441000000;22645999836,6483;24540000000;28101000197,4029;29684000000;33268000000;36997000000;41466000000;
"Barbados";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Belarus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44946729698,6947;45519653533,2548;40296730574,1973;35542074115,8316;31582900680,5515;28664842443,6924;28750739168,8976;30134043355,9356;30637666971,7946;30351763568,7095;30059833545,2274;29997523935,1832;29718487690,8816;30141595903,0858;31033763274,1271;31521845996,4211;32477234789,6224;32536721332,921;33445866492,3974;31785575024,7186;34196705336,2487;
"Belgium";14427080019,3238;14992524809,5917;16254545330,5639;17549610308,759;19361082003,7037;20417493755,4333;21379118551,6247;22443029745,0441;24807521756,8675;27145415972,9099;29178111163,6428;31078870577,3769;35027346305,7538;38355659292,6095;40359373907,4225;38049373381,4932;41660273479,723;43276011431,6284;45477912531,6301;48295001114,4978;48191542539,4772;48354817509,5563;48264876272,574;49616496077,7311;51984797569,1836;54146933974,9783;55345561385,9628;58014739960,2684;59938597052,9802;61574568636,7777;63477857449,2853;66396576875,6136;68537253341,7593;69031493749,3524;72175247008,8041;74386812530,1932;76016044242,9911;77889422512,0798;80148624529,2565;80619976556,7986;83925756031,3132;84418431199,5155;85230355332,5652;86668720954,5213;88823886720,0383;88624888108,5166;90961395924,6899;90786038899,0843;90346331522,4978;84253704869,7202;89847063576,2361;
"Belize";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Benin";;;;;;;;;;;;32000000;36000000;58000000;54000000;59000000;65000000;73000000;;;;;;;135000000;;;;;;;;;;225000000;;271000000;301000000;290000000;346000000;399000000;;;;;;617000000;674000000;751000000;;;
"Bermuda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bhutan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
