"Hydro production, total (toe)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Abkhazia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Afghanistan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Akrotiri and Dhekelia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Albania";;;;;;;;;;;;60189,1659501293;77386,0705073091;96904,5571797082;111779,879621669;137575,236457438;163370,593293208;189165,950128978;206362,854686158;232158,211521927;253654,342218402;262252,794496992;268701,633705934;275150,472914877;235511,607910577;183147,033533965;349183,147033536;288048,151332762;252708,512467757;264660,361134997;244883,92089424;302493,551160793;277386,07050731;284952,708512469;324247,635425625;361478,933791919;492347,377472058;432330,1805675;423129,836629409;454342,21840069;395012,89767842;305674,978503871;301977,644024077;420034,393809117;469991,401547724;461994,840928635;466981,943250218;239724,849527086;326483,233018058;447635,42562339;651676,698194328;
"Algeria";;;;;;;;;;;;28374,8925193467;42562,33877902;64660,361134996;42734,3078245918;28202,9234737749;33447,9793637147;23129,8366294068;21496,1306964748;25021,4961306966;22098,022355976;31470,335339639;41186,5864144456;20206,3628546863;38865,0042992264;55546,0017196908;21496,1306964748;42906,2768701636;15735,1676698195;19432,5021496132;11607,9105760964;25193,4651762684;17110,9200343939;30352,5365434223;14273,4307824592;16595,0128976785;11607,9105760964;6448,83920894242;18486,6723989683;17454,8581255375;4643,16423043855;5932,93207222703;4901,11779879624;22785,8985382632;21582,1152192606;47721,4101461739;18744,625967326;19432,5021496132;24333,6199484094;26311,2639724851;14961,3069647464;
"American Samoa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Andorra";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Angola";;;;;;;;;;;;52020,6362854689;58469,4754944113;69991,4015477218;73774,7205503013;81685,296646604;36801,3757523648;36801,3757523648;45399,8280309547;47721,4101461739;51160,7910576099;51160,7910576099;54256,2338779023;49699,0541702496;51676,6981943253;60275,1504729152;60275,1504729152;60275,1504729152;60275,1504729152;61049,0111779883;62338,7790197768;66380,051590714;72226,9991401552;76526,2252794501;76956,1478933796;77386,0705073091;79535,6835769566;75236,4574376616;91143,5941530529;76870,1633705937;78417,8847807399;87446,2596732593;98280,3095442826;106706,792777301;150472,914875323;190799,65606191;229148,753224421;214703,35339639;269475,494411007;266036,113499572;303955,288048153;
"Anguilla";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Antigua and Barbuda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Argentina";;;;;;;;;;;;132760,103181428;129320,722269992;257437,661220982;432330,1805675;447205,503009461;431040,412725712;495786,758383494;666552,020636289;916595,012897683;1302149,61306965;1262682,71711093;1512725,70937232;1583748,92519347;1709372,31298367;1775236,45743767;1806448,83920895;1877987,96216682;1292605,33104042;1114789,33791918;1537059,32932073;1394754,94411007;1666723,98968187;2052192,60533105;2352622,52794498;2307136,71539124;1970077,38607052;2408856,40584696;2273000,85984524;1839380,91143595;2474118,65864146;3183404,98710234;3082545,14187448;2907394,6689596;2617368,87360277;2923817,71281171;3263112,63972487;2611092,00343939;2615391,22957869;2911951,84866726;2887962,16680999;
"Armenia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133705,932932073;132932,072227;261736,887360277;369131,556319864;302149,613069649;165004,29922614;135167,669819433;119518,4866724;132158,211521927;103181,427343079;108426,483233019;83233,0180567502;142562,338779021;170421,324161652;171797,076526226;152450,558899399;156921,754084266;159329,320722271;154514,18744626;173602,75150473;219776,440240758;
"Aruba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Australia";343766,122098024;397334,479793639;422785,898538265;567411,865864147;588134,135855549;713069,64746346;607394,66895959;655374,032674122;654084,264832334;719862,424763546;764230,43852107;995786,758383496;995098,882201209;981169,389509894;1134995,70077387;1262596,73258814;1295356,83576957;1130438,52106621;1193637,14531385;1321496,13069648;1112811,6938951;1210318,14273431;1169045,57179708;1043164,23043853;1039208,94239038;1174720,55030095;1246947,54944111;1169131,55631987;1229406,70679278;1242906,27687017;1216509,0283749;1360361,13499571;1319776,44024076;1422098,02235598;1406276,87016338;1365864,14445401;1324849,52708513;1419776,44024076;1322699,91401548;1393207,22269992;1406706,79277731;1424161,65090285;1365176,26827172;1400687,87618229;1379707,65262254;1311865,86414446;1350042,9922614;1227773,00085985;1023989,68185727;944539,9828031;1072141,01461737;1274204,64316424
"Austria";976698,194325027;963198,624247641;996044,711951854;977300,085984528;1093035,25365435;1349441,1006019;1465262,2527945;1495098,88220121;1533619,94840929;1401977,64402408;1783319,00257954;1394411,00601892;1442390,36973346;1612209,80223561;1907738,60705074;2018314,70335341;1721324,16165091;2107910,57609631;2106620,80825453;2373086,84436803;2469905,41702495;2652364,57437663;2656577,81599314;2631642,30438522;2482287,18830612;2660275,15047293;2675580,39552882;3098108,34049873;3078761,8228719;3034135,85554602;2709286,32846089;2703611,34995702;2996388,65004301;3156147,89337921;3070335,33963888;3187188,30610492;2942046,43164232;3104471,19518488;3195442,82029236;3499484,0928633;3597248,49527087;3478503,86930354;3458899,39810836;2855975,92433364;3160963,02665522;3153654,34221842;3081513,32760105;3190283,74892521;3297764,40240758;3517282,88907998;3302321,58211524;2899054,17024937
"Azerbaijan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60189,1659501293;151160,79105761;150214,961306966;206362,854686158;157265,692175409;133791,917454859;132244,196044713;147205,503009459;167755,803955289;129492,691315564;131900,257953569;111865,864144455;173688,736027516;212295,786758385;236887,360275152;258727,42906277;216509,028374894;203095,442820293;191917,454858127;198538,263112641;296302,665520208;
"Bahamas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bahrain";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bangladesh";;;;;;;;;;;;15047,2914875323;15047,2914875323;28460,8770421326;20894,2390369735;37489,251934652;42476,3542562341;37575,2364574379;43508,1685296649;50472,9148753227;50128,9767841791;53740,3267411869;44969,9054170252;56921,7540842651;77128,1169389514;63542,5623387794;38693,0352536546;44453,9982803098;58039,5528804818;79105,7609630271;76010,3181427347;72055,0300945834;68443,6801375756;52278,5898538266;72828,8907996564;31986,2424763544;63542,5623387794;61822,8718830614;74376,6122098026;71625,1074806539;81341,3585554604;85382,6311263977;91659,5012897683;96818,5726569223;105417,024935512;111177,987962167;119432,502149614;119690,455717971;126741,186586415;133447,979363715;142906,276870164;
"Barbados";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Belarus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1719,69045571798;1547,72141014618;1461,73688736028;1633,70593293208;1633,70593293208;1719,69045571798;1375,75236457438;1805,67497850388;2407,56663800517;1633,70593293208;2321,58211521927;2579,53568357697;2493,55116079107;2407,56663800517;2837,48925193467;3095,44282029236;3009,45829750646;3009,45829750646;3353,39638865006;3783,31900257956;3869,30352536546;
