"Crude oil production, total (toe)";1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
"Abkhazia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Afghanistan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Akrotiri and Dhekelia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Albania";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Algeria";26481000;33872000;39076000;42904000;44784000;48208000;37099000;50098000;50888000;47355000;45754000;50602000;54054000;57737000;57550000;51750000;46830000;46847000;45866000;49472000;49997000;51796000;52639000;53569000;54656000;57477000;57679999,9999999;56630000;56670000;56378000;56596000;59342000;60326000;61779000;63930000;66787000;65751000;70893999,9999999;79005000;83551000;86437670;86202000;86482000;85620176,3264181;77846911,8397909;75501136,0201511;74311461,4609571
"American Samoa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Andorra";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Angola";655000;631000;537000;750000;2458000;5065000;5721000;7057000;8175000;8541000;7791000;7564000;7062000;6469000;7200000;7428000;7158000;6410000;8790000;10074000;11452000;13926000;17506000;22320000;22642000;23380000;24514000;27153000;24810000;27424000;31173000;35364000;36500000;36000000;36700000;36850000;36550000;44600000;42832728,7452766;54464208,0971659;69039863,2928475;69636345,9973009;82529385,1583445;93478517,6673245;89062415,6545209;91973211,8758434;85242442,6450742
"Anguilla";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Antigua and Barbuda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Argentina";13764758,6206896;14643965,5172413;15962275,8620689;17487586,2068965;18106758,6206896;20000517,2413793;21570862,0689655;22218034,4827586;21601172,4137931;21144758,6206896;20260551,7241379;20414137,9310344;22061965,5172413;23209862,0689655;24278103,4482758;25267034,4827586;25736379,3103448;25571310,3448275;25667310,3448275;25141758,6206896;24158620,6896551;22868655,1724138;22572586,2068965;23719758,6206896;24229965,5172413;25436551,7241379;25882000;29040448,275862;31067827,5862069;34511000;37456931,0344827;40816000;43385586,2068965;44028068,9655172;41819206,8965517;40434724,137931;41537000;40901517,2413793;40243000;37788862,0689655;36242271,9332805;35767237,6030355;34943078,3122024;34123831,9513322;33776045,02689;32549586,7244194;30285118,2653465
"Armenia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aruba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Australia";346205,96205962;445121,95121951;1038617,88617886;1934146,34146341;2225609,75609756;8704607,04607046;15255403,7005887;16280005,6069526;20394430,4270628;20178605,9714045;21621841,41669;22140930,7541351;23424755,8639379;23190853,6585365;23276296,6077936;21838752,4530417;21271030,7447902;20974282,7773105;20416771,7970283;26683010,9335576;30846030,2775441;27577607,2329688;29282304,9247733;27780309,7841323;26203237,7815157;30358272,1241005;28735248,3412765;28268874,1239136;26397488,3188487;28385512,1016727;26683730,7261003;28218767,5918138;30059238,8561816;28607817,2600691;27837636,9030931;37488809,2381327;34526994,2982236;34307550,0379746;29707666,7177477;25920027,9126502;25584379,1656777;23799354,1913692;24706645,665969;24356721,6877305;22575003,9439325;24627235,1877633;21046398,7882733
"Austria";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Azerbaijan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13230000;13050000;13910000;13740000;13160000;12500000;11773700;11195700;10251300;9562800;9161700;9100400;9027000;11449000;13851000;14069000;14979000;15429000;15526000;15641000;22399600;32468100;42784100;44748499,9999999;50629100;50838200;45610500
"Bahamas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bahrain";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bangladesh";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Barbados";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Belarus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Belgium";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Belize";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Benin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bermuda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bhutan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bolivia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bosnia and Herzegovina";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Botswana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Brazil";5033297,31355253;6147396,15076183;7738965,91820369;8504936,0064154;9277483,36006415;8800012,4298316;9202844,22614274;9015266,80032077;9149791,90056135;9521158,17963112;9323862,06896552;9083418,5244587;8740286,48757017;8687234,16198877;9005548,11547715;9881383,64073777;11530472,9350441;14055397,754611;17837026,0625501;24917893,4242181;29422190,457097;30963912,9911788;30776495,5894145;30091187,4899759;32152650,9623095;34094000,2004811;33701047,1130713;34170429,1900561;34778455,6936647;36240694,8676824;37567003,0072173;42447811,2269446;45503265,0360866;52622155,3728949;59479369,6872494;66770624,4587008;70107762,8307939;78604374,4987971;81347918,8051323;80781086,8484362;89325722,5514119;94202443,0850437;95499749,331904;99242816,518551;106040479,852384;111706749,760702;114553898,17743
"British Virgin Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Brunei";3964974,11444142;4760614,44141689;5158434,60490463;6070114,98637602;6152985,01362398;6749715,25885559;6401622,61580381;9061940,59945504;11434147,1389645;9740228,88283379;9166771,11716621;10621479,5640327;11102961,852861;11736192,0980926;12740787,46594;11715291,0081743;8464220,70844687;8676358,3106267;8676358,3106267;8351082,83378747;8102900,54495913;7993400,54495913;7496125,34059946;7254080,10899183;7221032,69754768;7320487,73841962;7930445,50408719;8849720,4359673;8464220,70844687;8663130,79019074;8464220,70844687;8015300,27247956;7893945,50408719;7595580,38147139;8851995,91280654;9424749,31880109;9896273,84196185;10244366,4850136;10456504,0871934;10274533,1836127;10055538,3448437;10769212,8306092;9461267,61590804;8526874,07402935;8190949,14037957;8394330,42462691;8073609,84921871
"Bulgaria";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burkina Faso";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burundi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cambodia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cameroon";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
